,show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
664,s657,Movie,The Flaw,David Sington,"Andrew Luan, Robert Shiller, Louis Hyman",United Kingdom,2011,13+,81 min,Special Interest,"The definitive doc on the 2008 financial crash - The Flaw goes beyond easy explanations of greedy bankers and incompetent regulators its investigation goes to the root causes of the USA's and UK's deluded belief that everyone could be rich and property prices would rise forever, and asks the question: why are the perpetrators of the mess now entrusted with the lucrative task of clearing it up?"
675,s667,Movie,The Farewell (4K UHD),Lulu Wang,"Awkwafina, Shuzhen Zhao, X Mayo","United States, China",2019,13+,100 min,"Arthouse, Arts, Entertainment, and Culture, Comedy","In this funny, heartfelt story, Billi’s (Awkwafina) family returns to China under the guise of a fake wedding to stealthily say goodbye to their beloved matriarch – the only person that doesn’t know she only has a few weeks to live."
686,s677,TV Show,The Expanse,,"Steven Strait, Cas Anvar, Dominique Tipper, Wes Chatham, Frankie Adams, Cara Gee, Nadine Nicole, Keon Alexander, Jasai Chase-Owens, Shohreh Aghdashloo","Canada, United States",2021,16+,5 Seasons,"Action, Science Fiction","In different parts of the Solar System, the crew of the Rocinante and their allies confront the sins of their past, while Marco Inaros unleashes an attack that will alter the future of Earth, Mars, the Belt, and the worlds beyond the Ring."
709,s699,TV Show,The Dangerous Book for Boys,,"Kyan Zielinski, Drew Logan Powell, Erinn Hayes, Chris Diamantopoulos, Gabriel Bateman",United States,2018,7+,1 Season,Young Adult Audience,"The McKenna family must cope with the passing of its much-loved patriarch, Patrick. Hope appears in the form of a book called The Dangerous Book for Boys that Patrick created for his three sons. It becomes a how-to guide that inspires fantasies in his youngest son, Wyatt, enabling him to reconnect with his father and learn lessons that help him navigate real life."
718,s709,Movie,The Court Jester,"Melvin Frank, Norman Panama","Danny Kaye, Glynis Johns, Basil Rathbone, Angela Lansbury, Cecil Parker",United States,1956,G,101 min,"Action, Comedy","Danny Kaye plays kind-hearted entertainer Hawkins who disguises himself as the legendary king of jesters, Giacomo. Hawkins infiltrates the court of the evil villain Basil Rathbone, but when a sorceress hypnotises him, royal chaos ensues."
733,s1252,Movie,Professor Shanku O El Dorado,Sandip Ray,"Dhritiman Chatterjee, Subhasish Mukhopadhyay, Eduardo Munniz","Brazil, United States, India",2020,13+,92 min,"Action, Adventure, Science Fiction","A world of myths, superpowers, and science - and Prof Shanku! Catch India's first science-fiction, with some ""Ray"" magic."
736,s726,Movie,The Bridgewater Triangle,"Aaron Cadieux, Manny Famolare","Loren Coleman, Jeff Belanger, Chris Balzano, John Brightman, Andrew Lake, Chris Pittman, Tim Weisberg",United States,2013,13+,91 min,Special Interest,"""The Bridgewater Triangle"" hosts an unusually high volume of reports involving strange happenings, baffling mysteries and sinister deeds. From ghostly hauntings and cryptid animal sightings, to UFO encounters and evidence of satanic ritual sacrifice, this 200-square mile region in Southeastern Massachusetts serves as one of the world's most diverse and well-known hotspots for paranormal activity"
741,s731,TV Show,The Boys,,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty, Dominique McElligott, Jessie T. Usher, Laz Alonso, Chace Crawford, Tomer Capon, Karen Fukuhara, Nathan Mitchell, Aya Cash, Colby Minifie",United States,2020,18+,2 Seasons,Action,"All Episodes Available. In a more intense Season 2 of THE BOYS, Butcher, Hughie and the team reel from their losses in Season 1. On the run from the law, they struggle to fight back against the Superheroes. Meanwhile Vought, the hero management company, cashes in on the panic over Supervillains, and a new hero, Stormfront, shakes up the company and challenges an already unstable Homelander."
768,s757,Movie,The Asian Connection,Daniel Zirilli,"Steven Seagal, Pim Bubear, John Edward Lee","United States, Thailand",2016,R,92 min,"Action, Suspense","Two American expatriates, Jack and Sam, unwittingly steal a drug lord's money when they rob a series of banks in Southeast Asia and become the target of the gang's vengeance. When Sam is killed, Jack turns to the love of his life, Pom, and the couple becomes a modern-day Bonnie and Clyde that takes the fight to the gang."
825,s815,TV Show,Tandav,,"Saif Ali Khan, Dimple Kapadia, Tigmanshu Dhulia, Mohd. Zeeshan Ayyub, Sunil Grover, Kritika Kamra, Kumud Kumar Mishra, Sarah Jane Dias, Dino Morea, Gauahar Khan, Sandhya Mridul, Annup Sonii, Paresh Pahuja, Shonali Nagrani, Hitten Ttejwani, Amyra Dastur, Neha Hinge, Sukhmani Sadana",India,2021,16+,1 Season,Drama,"Tandav is the coming together of different worlds under the gamut of politics. It is a dramatic take of the powerplay between people at the high level to secure their position. Youth plays a significant role in the story as we see where their future is headed in this dark abyss of politics. Catch Tandav in Tamil & Telugu, Feb 12 onwards."
830,s820,TV Show,Tales from the Loop,,"Rebecca Hall, Paul Schneider, Duncan Joiner, Daniel Zolghadri, Jonathan Pryce",United States,2020,18+,1 Season,Science Fiction,"Inspired by the wondrous paintings of Simon Stålenhag, Tales from the Loop explores the mind-bending adventures of the people who live above the Loop, a machine built to unlock and explore the mysteries of the universe – making things previously relegated to science fiction, possible."
832,s822,TV Show,Take Us Home: Leeds United,,"Russell Crowe, Andrea Radrizanni, Marcelo Bielsa, Victor Orta, Angus Kinnear, Liam Cooper, Luke Ayling, Kalvin Phillips, Patrick Bamford, Nikolaj Coster-Waldau, Ralph Ineson, Josh Warrington, James Mooney",United Kingdom,2020,16+,2 Seasons,TV Shows,"Following last season’s heartbreak, Leeds United embark on a new season with renewed hope of reaching the Premier League. Marcelo Bielsa’s side face Manchester United in Australia and with a revamped squad, Leeds look to set the pace in the Championship. But as Covid-19 arrives in the UK, will Bielsa’s players even get the chance to take the club home, to the promised land?"
858,s849,Movie,Super Size Me 2: Holy Chicken!,Morgan Spurlock,Morgan Spurlock,United States,2019,PG-13,103 min,"Comedy, Documentary, Special Interest",Muckraking filmmaker Morgan Spurlock reignites his battle with the food industry - this time with Big Chicken - as he opens his own fast food restaurant.
859,s850,Movie,Super Size Me,Morgan Spurlock,Morgan Spurlock,United States,2004,PG-13,99 min,Special Interest,"Winner at Sundance, director Morgan Spurlock's social experiment in fast-food gastronomy sees him attempting to subsist uniquely on food from the McDonald's menu for an entire month. In the process his weight balloons, his energy level plummets and he experiences all sorts of unexpected – and terrifying – side effects."
869,s860,Movie,Sunshine Hotel,Michael Dominic,"Michael Dominic, Nathan Smith, Ray Stark",United States,2002,13+,99 min,"Documentary, Special Interest","[Remastered 2017] As seen on Sundance Channel. A journey into the last ""flophouse"" on New York City's infamous skidrow, The Bowery. Filmmaker Michael Dominic takes his camera behind the doors of the Sunshine Hotel, one of the few remaining affordable refuges for the destitute and out of luck, a world that has seemingly stood still for more than eight decades."
883,s873,Movie,Student of the Year 2,Punit Malhotra,"Tiger Shroff, Tara Sutaria, Ananya Panday",India,2019,13+,146 min,"Drama, International","Rohan (Tiger Shroff) is a student, athlete from a mediocre Pishorilal Chamandas College. He dreams of becoming the Student of the Year one day. His life takes a turn, when he gets accepted to St. Teresa College, encounters his rival Manav & has the beautiful Shreya and Mia who begin to fall for him. Their life gets tangled through competition, failure, manipulation and heartbreaks."
905,s893,Movie,Stick Man,"Jeroen Jaspaert, Daniel Snaddon","Martin Freeman, Jennifer Saunders, Russell Tovey, Hugh Bonneville, Rob Brydon, Sally Hawkins",United Kingdom,2015,G,27 min,"Adventure, Animation, Kids","A half-hour animation based on the much-loved children's picture book by Julia Donaldson and Axel Scheffler. Stick Man tells the tale of a happy-go-lucky father's epic adventure across the seasons as he runs from a playful dog, gets thrown in a river, escapes from a swan's nest and even ends up on top of a fire. Will he get back to his family in time for Christmas?"
925,s917,Movie,Stagecoach - The Original John Wayne Classic,John Ford,"John Wayne, Claire Trevor, Andy Devine, John Carradine, Thomas Mitchell, Louise Platt, George Bancroft, Donald Meek, Tim Holt, Tom Tyler, Yakima Canutt",United States,1939,7+,96 min,"Adventure, Drama, Western","A stagecoach sets off across the untamed wilderness carrying a mixed assortment of characters whose journey is complicated by an Apache raiding party. Directed by John Ford, the original 1939 Stagecoach has long been recognized as one of the most influential films ever made & transcends the Western genre. Winner of 2 Academy Awards & 5 Nominations, it features John Wayne in his breakthrough role!"
946,s937,Movie,Sonu Ke Titu Ki Sweety,Luv Ranjan,"Kartik Aaryan, Nushrat Bharucha, Sunny Singh Nijjar, Ishita Raj Sharma, Alok Nath, Deepika Amin, Ayesha Raza, Virendra Saxena, Rajesh Jais",India,2018,13+,138 min,"Comedy, International","Sonu and Titu are childhood friends. Titu has always been a naive lover, who falls in love easily and Sonu has always had to step in to save him. But Sweety is the perfect bride and Titu is head over heels in love with her. Sonu's instinct to protect Titu at whatever cost, makes him feel that she's too good to be true."
947,s938,TV Show,Sons of the Soil : Jaipur Pink Panthers,,Abhishek Bachchan,India,2020,13+,1 Season,"Documentary, Drama, Sports","As Kabaddi’s popularity explodes across India with the rise of Pro Kabaddi League, Bollywood actor Abhishek Bachchan who owns the PKL team - Jaipur Pink Panthers is determined to go for the winning title after 6 seasons of not being able to make a mark in the league. He gambles on a talented but young and inexperienced group of players in his quest to win season 7 of Kabaddi's biggest competition."
949,s940,Movie,Song One,Kate Barker-Froyland,"Anne Hathaway, Johnny Flynn, Mary Steenburgen, Ben Rosenfield",United States,2015,PG-13,88 min,"Arthouse, Arts, Entertainment, and Culture, Drama","Oscar winner Anne Hathaway stars as Franny in this romance set in Brooklyn's indie music scene. After her brother is in an accident, Franny returns home only to fall in love with her brother's musical idol."
966,s956,Movie,Soapdish,Michael Hoffman,"Robert Downey Jr., Sally Field, Teri Hatcher, Cathy Moriarty, Paul Johansson, Elisabeth Shue, Whoopi Goldberg, Kevin Kline, Carrie Fisher, Kathy Najimy, Willie Garson",United States,1991,PG-13,96 min,Comedy,"The cast and crew of The Sun Also Sets, America's hottest soap opera have on-screen drama and off-screen craziness with enough dirty laundry to keep everyone in hot water in this unadulterated comedy."
977,s966,TV Show,Sneaky Pete,,"Libe Barer, Marin Ireland, Shane McRae, Peter Gerety, Margo Martindale, Giovanni Ribisi",United States,2019,18+,3 Seasons,Drama,Who is Marius Josipovic? Marius himself would like to know. He's feeling a pull toward the Bernhardt family. But he's not part of the family. He's a con-man. The chance to become more like a normal human being is enticing. It also scares him to death. This season all the members of the Sneaky Pete family explore their identity. It’s a dangerous journey. They could lose themselves or their lives.
980,s969,Movie,Smile Please,Vikram Phadnis,"Mukta Barve, Lalit Prabhakar, Prasad Oak, Aditi Govitrikar, Trupti Khamkar, Satish Alekar, Vedashree Mahajan",India,2019,13+,132 min,"Drama, International","Nandini Joshi, once an extremely successful photographer, has fallen prey to dementia. Her already unstable relationship with her daughter Nupur, who stays with Nandini’s ex-husband Shishir, has deteriorated over the years. When Viraj, a young graphic designer arrives on the scene, he is determined to mend the situation and help Nandini rediscover a sense of meaning in her life."
